Org Defined ID,Username,FirstName,LastName,Attempt #,Attempt Start,Attempt End,Section #,Q #,Q Type,Q Title,Q Text,Bonus?,Difficulty,Answer,Answer Match,Score,Out Of
259,259,firstname259,lastname259,1,01/01/2024 00:00,01/01/2024 00:00,,1,WR,,"A library is setting up a database with the following relational schema:     Book(isbn, title, author)    Copy(isbn, serial_number, weight, bookcase)  A book must have an isbn and a title. Several copies of each book can be present in the library, each with a unique serial number, a weight in grams. Each bookcase has a number. The following constraints apply to every change to the database:         1. Every book has a unique value for isbn.    2. For every copy C there exists a book that has C's isbn. A copy cannot be added to the database if a book with the copy's isbn does not exists in the table Book.     3. If the isbn of a book in the database changes, then the isbn of copiesof that book should also change (so those copies continue to belong to the same book).    4. The removal of a book must result in all its copies being deleted.      Give the SQL create statements for Book and Copy such that the above requirements are fulfilled. Use sensible data types or each attribute. Use key constraints and associated actions. Do not use triggers.   NB foreign keys need to be enabled explicitly in SQLite 3 using the command ""PRAGMA foreign_keys = ON;"". Without this option enabled, SQLite will ignore foreign keys, which will make it difficult to properly test your queries.   ",False,1,"CREATE TABLE Book ( isbn text PRIMARY KEY, title  CHAR(30) NOT NULL, author CHAR(30)  ) CREATE TABLE Copy ( isbn  text, FOREIGN KEY (isbn)  REFERENCES Book(isbn) ON DELETE CASCADE ON UPDATE CASCADE, serial_number INTEGER, PRIMARY KEY(isbn,serial_number), weight INTEGER ,  bookcase INTEGER  )   ",,1,1
259,259,firstname259,lastname259,1,01/01/2024 00:00,01/01/2024 00:00,,2,WR,,Give a sequence of two insert statements that violate constraint 1 above ( Every book has a unique value for isbn).,False,1,"INSERT INTO Book (isbn, title, author) VALUES ('2', 'abc',xyz'); INSERT INTO Book (isbn, title, author) VALUES ('2', 'abc','def');",,0,1
259,259,firstname259,lastname259,1,01/01/2024 00:00,01/01/2024 00:00,,3,WR,,"Let's assume that the book table contains the following row (and no other rows):     ('9781292025827', 'A first course in Database Systems', 'Jennifer Widom') Give an SQL statement that violates constraint 2.",False,1,"INSERT INTO Copy(isbn, serial_number, weight,bookcase) VALUES (1, 5, 4 , 7);",,1,1
259,259,firstname259,lastname259,1,01/01/2024 00:00,01/01/2024 00:00,,4,WR,,"Let's assume that we have two copies of Jennifer Widom's book, i.e., the table Copy has the following two rows:    [ ('9781292025827', 1, 200, 81),      ('9781292025827', 2, 200, 81) ] Give an SQL update statement that shows that condition 3 is handled correctly.",False,1,UPDATE book SET isbn='1' WHERE isbn='9781292025827';,,1,1
259,259,firstname259,lastname259,1,01/01/2024 00:00,01/01/2024 00:00,,5,WR,,"For your database, give an SQL statement that shows that constraint 4 is handled correctly.",False,1,DELETE FROM book;,,1,1
259,259,firstname259,lastname259,1,01/01/2024 00:00,01/01/2024 00:00,,6,WR,,Add a constraint to Copy (or recreate Copy with the added constraint) that makes sure that books never weigh less than 10 grams and never more than 1000 grams.  ,False,1,"CREATE TABLE Copy ( isbn  text, FOREIGN KEY (isbn)  REFERENCES Book(isbn) ON DELETE CASCADE ON UPDATE CASCADE, serial_number INTEGER, PRIMARY KEY(isbn,serial_number), weight INTEGER ,  bookcase INTEGER, CONSTRAINT weight CHECK ( weight>= 10 and  weight<=1000)   )     ",,1,1
259,259,firstname259,lastname259,1,01/01/2024 00:00,01/01/2024 00:00,,7,WR,,Write an assertion that makes sure that somewhere in our library there exists a book copy written by 'Jennifer Widom' NB PostgreSQL and SQLite do not support assertions yet. PostgreSQL does check the syntax of your query.,False,1,"CREATE ASSERTION Jennifer  CHECK ( EXISTS (   SELECT *   FROM book, copy WHERE book.author= 'Jennifer Widom' and book.isbn=copy.isbn   ) ",,0,1
259,259,firstname259,lastname259,1,01/01/2024 00:00,01/01/2024 00:00,,8,WR,,Create an assertion that states that the total amount of book copies in our library should not exceed 1 billion grams.,False,1,CREATE ASSERTION 1_billion_grams CHECK ( Select SUM(copy.weight)<1000000000 FROM copy ) ,,1,1
259,259,firstname259,lastname259,1,01/01/2024 00:00,01/01/2024 00:00,,9,WR,,"Create an assertion that makes sure that no bookcase in our library has more than 1,000,000 grams of books.",False,1,CREATE ASSERTION 1_milliom_grams CHECK ( Select SUM(copy.weight)>1000000 FROM copy GROUP BY copy.bookcase  ) ,,0,1
260,260,firstname260,lastname260,1,01/01/2024 00:00,01/01/2024 00:00,,1,WR,,"A library is setting up a database with the following relational schema:     Book(isbn, title, author)    Copy(isbn, serial_number, weight, bookcase)  A book must have an isbn and a title. Several copies of each book can be present in the library, each with a unique serial number, a weight in grams. Each bookcase has a number. The following constraints apply to every change to the database:         1. Every book has a unique value for isbn.    2. For every copy C there exists a book that has C's isbn. A copy cannot be added to the database if a book with the copy's isbn does not exists in the table Book.     3. If the isbn of a book in the database changes, then the isbn of copiesof that book should also change (so those copies continue to belong to the same book).    4. The removal of a book must result in all its copies being deleted.      Give the SQL create statements for Book and Copy such that the above requirements are fulfilled. Use sensible data types or each attribute. Use key constraints and associated actions. Do not use triggers.   NB foreign keys need to be enabled explicitly in SQLite 3 using the command ""PRAGMA foreign_keys = ON;"". Without this option enabled, SQLite will ignore foreign keys, which will make it difficult to properly test your queries.   ",False,1,"CREATE Table Book (title TEXT NOT NULL, isbn TEXT NOT NULL, author TEXT NOT NULL, PRIMARY KEY (isbn), UNIQUE (title, isbn));  CREATE Table Copy (isbn TEXT NOT NULL, serial_number TEXT NOT NULL, weight TEXT NOT NULL, bookcase TEXT NOT NULL, FOREIGN KEY (isbn) REFERENCES Book(isbn) ON DELETE CASCADE ON UPDATE CASCADE, CONSTRAINT original_exists CHECK(EXISTS(SELECT * FROM Book WHERE Book.isbn=Copy.isbn)));",,0,1
